antecedents,consequents,case_count,support,confidence,lift
"frozenset({'CLOBAZAM', 'OXCARBAZEPINE'})",frozenset({'Drug ineffective'}),9,0.0015090543259557343,0.23076923076923075,3.3244147157190636
"frozenset({'GABAPENTIN', 'LEVETIRACETAM'})",frozenset({'Purpura'}),9,0.0015090543259557343,0.20454545454545453,135.54545454545453
"frozenset({'VALPROIC ACID', 'TOPIRAMATE'})",frozenset({'Drug ineffective'}),9,0.0015090543259557343,0.20454545454545453,2.9466403162055337
"frozenset({'PHENYTOIN', 'GABAPENTIN'})",frozenset({'Off label use'}),9,0.0015090543259557343,0.19999999999999998,5.054237288135592
"frozenset({'LEVETIRACETAM', 'CEFTRIAXONE'})",frozenset({'Purpura'}),9,0.0015090543259557343,0.5,331.33333333333337
"frozenset({'LAMOTRIGINE', 'BENZTROPINE'})",frozenset({'Cardiac arrest'}),8,0.0013413816230717639,0.5,149.1
"frozenset({'ZONISAMIDE', 'LEVETIRACETAM'})",frozenset({'Drug ineffective'}),8,0.0013413816230717639,0.2962962962962963,4.268384326355341
"frozenset({'LACOSAMIDE', 'OXCARBAZEPINE'})",frozenset({'Drug ineffective'}),8,0.0013413816230717639,0.17777777777777778,2.5610305958132047
"frozenset({'DULOXETINE', 'PREGABALIN'})",frozenset({'Drug ineffective'}),8,0.0013413816230717639,0.10526315789473684,1.5163996948893974
"frozenset({'IBUPROFEN', 'GABAPENTIN'})",frozenset({'Therapy non-responder'}),8,0.0013413816230717639,0.12903225806451613,10.260645161290322
"frozenset({'OXCARBAZEPINE', 'PREGABALIN'})",frozenset({'Parkinsonism'}),8,0.0013413816230717639,0.2962962962962963,80.32323232323232
"frozenset({'IBUPROFEN', 'GABAPENTIN'})",frozenset({'Drug ineffective for unapproved indication'}),8,0.0013413816230717639,0.12903225806451613,14.51978088861838
"frozenset({'DULOXETINE', 'AMANTADINE'})",frozenset({'Serotonin syndrome'}),8,0.0013413816230717639,0.47058823529411764,71.96380090497738
"frozenset({'LACOSAMIDE', 'PHENOBARBITAL'})",frozenset({'Drug ineffective'}),8,0.0013413816230717639,0.42105263157894735,6.06559877955759
"frozenset({'LAMOTRIGINE', 'ZOPICLONE'})",frozenset({'Cerebrovascular accident'}),8,0.0013413816230717639,0.20512820512820512,87.38461538461537
