Drug1,Drug2,PT,case_count,support,confidence,lift
ZOPICLONE,CEFTRIAXONE,Eosinophilia,2,0.00033534540576794097,0.39999999999999997,397.5999999999999
GABAPENTIN,LAMOTRIGINE,Chorea,2,0.00033534540576794097,0.19999999999999998,397.5999999999999
ZOLPIDEM,ZOPICLONE,Pneumonia aspiration,3,0.0005030181086519115,1.0,372.75
RISPERIDONE,MELATONIN,Platelet count decreased,3,0.0005030181086519115,0.5,372.75
TRIHEXYPHENIDYL,MELATONIN,Platelet count decreased,2,0.00033534540576794097,0.5,372.75
MYCOPHENOLATE MOFETIL,LEVETIRACETAM,Venoocclusive liver disease,5,0.0008383635144198525,0.3125,372.75
ACYCLOVIR,GABAPENTIN,Rash pruritic,2,0.00033534540576794097,0.25,372.75
MYCOPHENOLATE MOFETIL,LEVETIRACETAM,Serratia sepsis,3,0.0005030181086519115,0.18750000000000003,372.75
MYCOPHENOLATE MOFETIL,LEVETIRACETAM,Hypermetabolism,3,0.0005030181086519115,0.18750000000000003,372.75
DULOXETINE,LAMOTRIGINE,Chorea,2,0.00033534540576794097,0.18181818181818182,361.45454545454544
DULOXETINE,MELATONIN,Mitral valve disease,3,0.0005030181086519115,0.6,357.84
TRIHEXYPHENIDYL,HALOPERIDOL,Necrotising colitis,2,0.00033534540576794097,0.11764705882352941,350.8235294117647
IBUPROFEN,PREDNISOLONE,Toxic shock syndrome streptococcal,2,0.00033534540576794097,0.11764705882352941,350.8235294117647
IBUPROFEN,PREDNISOLONE,Fixed eruption,2,0.00033534540576794097,0.11764705882352941,350.8235294117647
LEVETIRACETAM,CEFTRIAXONE,Purpura,9,0.0015090543259557343,0.5,331.33333333333337
CARBAMAZEPINE,HALOPERIDOL,Wernicke's encephalopathy,2,0.00033534540576794097,0.11111111111111112,331.33333333333337
VALPROIC ACID,AMITRIPTYLINE,Substance use,2,0.00033534540576794097,0.16666666666666666,331.3333333333333
GABAPENTIN,MYCOPHENOLATE MOFETIL,Therapy partial responder,3,0.0005030181086519115,1.0,313.89473684210526
ACYCLOVIR,AMPHOTERICIN B,Renal tubular disorder,10,0.001676727028839705,0.5263157894736842,313.89473684210526
TOPIRAMATE,PROPRANOLOL,Diffuse axonal injury,4,0.0006706908115358819,0.21052631578947367,313.89473684210526
TOPIRAMATE,PROPRANOLOL,White matter lesion,3,0.0005030181086519115,0.15789473684210525,313.8947368421052
CANDESARTAN,CEFTRIAXONE,Cholestasis,4,0.0006706908115358819,0.5714285714285714,309.8181818181818
VALPROIC ACID,ZOLPIDEM,Neuroleptic malignant syndrome,2,0.00033534540576794097,0.6666666666666666,305.8461538461538
MELATONIN,PREGABALIN,Dysuria,2,0.00033534540576794097,0.15384615384615383,305.84615384615375
CANDESARTAN,PRAMIPEXOLE,Adrenal insufficiency,3,0.0005030181086519115,0.3,298.2
MYCOPHENOLATE MOFETIL,LEVETIRACETAM,Adenovirus infection,4,0.0006706908115358819,0.25,298.2
RISPERIDONE,METHYLPHENIDATE,Pancreatitis necrotising,2,0.00033534540576794097,0.25,298.2
VALPROIC ACID,BACLOFEN,Catatonia,2,0.00033534540576794097,0.19999999999999998,298.2
SAFINAMIDE,PRAMIPEXOLE,Dyskinesia,2,0.00033534540576794097,0.6666666666666666,284.0
CYCLOSPORINE,ZOPICLONE,Urticaria,2,0.00033534540576794097,0.3333333333333333,284.0
GABAPENTIN,METOCLOPRAMIDE,Toxic encephalopathy,2,0.00033534540576794097,0.2857142857142857,283.99999999999994
DIAZEPAM,MELATONIN,Restlessness,4,0.0006706908115358819,0.2857142857142857,283.99999999999994
RISPERIDONE,METHYLPHENIDATE,Platelet count decreased,3,0.0005030181086519115,0.37500000000000006,279.56250000000006
AMITRIPTYLINE,SUMATRIPTAN,Drug dependence,2,0.00033534540576794097,1.0,271.09090909090907
GABAPENTIN,LACOSAMIDE,Bicytopenia,3,0.0005030181086519115,0.13043478260869568,259.304347826087
DIAZEPAM,METHYLPHENIDATE,Platelet count decreased,3,0.0005030181086519115,0.33333333333333337,248.50000000000003
PYRIDOSTIGMINE,MYCOPHENOLATE MOFETIL,Myasthenia gravis,2,0.00033534540576794097,0.25,248.49999999999997
CANDESARTAN,PREDNISOLONE,Nephrotic syndrome,3,0.0005030181086519115,0.2,238.56
ZONISAMIDE,PHENOBARBITAL,Alanine aminotransferase increased,2,0.00033534540576794097,0.19999999999999998,238.55999999999997
ZOPICLONE,ZOLMITRIPTAN,Aortic valve disease,4,0.0006706908115358819,0.15999999999999998,238.55999999999997
PROPRANOLOL,ZOPICLONE,Diffuse axonal injury,4,0.0006706908115358819,0.15999999999999998,238.55999999999997
CLOBAZAM,ZOPICLONE,Dilated cardiomyopathy,3,0.0005030181086519115,0.12,238.55999999999997
PROPRANOLOL,ZOPICLONE,White matter lesion,3,0.0005030181086519115,0.12,238.55999999999997
MODAFINIL,METHYLPHENIDATE,Anxiety,2,0.00033534540576794097,0.6666666666666666,233.88235294117646
RISPERIDONE,PREGABALIN,"Hallucination, auditory",3,0.0005030181086519115,0.11538461538461539,229.3846153846154
RIZATRIPTAN,ZOPICLONE,Angioedema,2,0.00033534540576794097,0.15384615384615383,229.38461538461536
CANDESARTAN,PREGABALIN,Agranulocytosis,2,0.00033534540576794097,0.22222222222222224,220.88888888888889
CARBAMAZEPINE,GALANTAMINE,Creatinine renal clearance decreased,2,0.00033534540576794097,0.11111111111111112,220.88888888888889
TRIHEXYPHENIDYL,RISPERIDONE,Psychotic behaviour,2,0.00033534540576794097,0.11111111111111112,220.88888888888889
IBUPROFEN,TRIHEXYPHENIDYL,Hepatic enzyme increased,2,0.00033534540576794097,0.39999999999999997,216.87272727272725
IBUPROFEN,HALOPERIDOL,Hepatic enzyme increased,2,0.00033534540576794097,0.39999999999999997,216.87272727272725
PRAMIPEXOLE,ROPINIROLE,Dyskinesia,2,0.00033534540576794097,0.5,213.0
CANDESARTAN,LEVETIRACETAM,Hypokalaemia,3,0.0005030181086519115,0.6,210.49411764705883
PHENYTOIN,PHENOBARBITAL,Electrolyte imbalance,3,0.0005030181086519115,0.17647058823529413,210.49411764705883
ZONISAMIDE,OXCARBAZEPINE,Epilepsy,2,0.00033534540576794097,0.6666666666666666,209.26315789473682
TOPIRAMATE,PROPRANOLOL,Focal dyscognitive seizures,2,0.00033534540576794097,0.10526315789473684,209.26315789473682
DIAZEPAM,ZOLPIDEM,Chronic hepatitis,2,0.00033534540576794097,0.13333333333333333,198.8
LACOSAMIDE,AZATHIOPRINE,Disease progression,2,0.00033534540576794097,0.6666666666666666,198.79999999999998
DULOXETINE,PROPRANOLOL,Psoriatic arthropathy,2,0.00033534540576794097,0.3333333333333333,198.79999999999998
PREGABALIN,TIZANIDINE,Myalgia,3,0.0005030181086519115,0.2,198.79999999999998
CANDESARTAN,PREGABALIN,Faecaloma,2,0.00033534540576794097,0.22222222222222224,189.33333333333334
ACYCLOVIR,PREGABALIN,Urticaria,2,0.00033534540576794097,0.22222222222222224,189.33333333333334
DIAZEPAM,GALANTAMINE,Pain,2,0.00033534540576794097,0.5,186.375
BENZTROPINE,MELATONIN,Left ventricular dysfunction,2,0.00033534540576794097,0.125,186.375
RISPERIDONE,DONEPEZIL,Delirium,2,0.00033534540576794097,0.39999999999999997,183.50769230769228
RISPERIDONE,DONEPEZIL,Neuroleptic malignant syndrome,2,0.00033534540576794097,0.39999999999999997,183.50769230769228
MELATONIN,PREGABALIN,Mitral valve disease,4,0.0006706908115358819,0.30769230769230765,183.50769230769228
CARBAMAZEPINE,ZONISAMIDE,Alanine aminotransferase increased,2,0.00033534540576794097,0.15384615384615383,183.50769230769228
TRIHEXYPHENIDYL,CARBAMAZEPINE,Hepatic enzyme increased,2,0.00033534540576794097,0.3333333333333333,180.72727272727272
DULOXETINE,MODAFINIL,Depression,2,0.00033534540576794097,0.6666666666666666,172.86956521739128
CYCLOSPORINE,CEFTRIAXONE,Colitis ulcerative,3,0.0005030181086519115,0.4285714285714286,170.4
DIAZEPAM,ZOPICLONE,Enuresis,4,0.0006706908115358819,0.11428571428571428,170.4
VALPROIC ACID,ZONISAMIDE,Alanine aminotransferase increased,2,0.00033534540576794097,0.14285714285714285,170.39999999999998
CANDESARTAN,VANCOMYCIN,Acute kidney injury,2,0.00033534540576794097,1.0,165.66666666666669
TOPIRAMATE,SUMATRIPTAN,Disturbance in attention,3,0.0005030181086519115,0.25,165.66666666666669
CLOBAZAM,RISPERIDONE,Inappropriate schedule of product administration,2,0.00033534540576794097,0.22222222222222224,165.66666666666669
DULOXETINE,METHYLPHENIDATE,Hyperprolactinaemia,2,0.00033534540576794097,0.22222222222222224,165.66666666666669
NAPROXEN,AMITRIPTYLINE,Red blood cell count decreased,2,0.00033534540576794097,0.11111111111111112,165.66666666666669
NAPROXEN,PREGABALIN,Red blood cell count decreased,2,0.00033534540576794097,0.11111111111111112,165.66666666666669
DIAZEPAM,METHYLPHENIDATE,Pulmonary embolism,6,0.001006036217303823,0.6666666666666667,165.66666666666666
DIAZEPAM,PHENOBARBITAL,Dry mouth,2,0.00033534540576794097,0.16666666666666666,165.66666666666666
CARBAMAZEPINE,LAMOTRIGINE,BRASH syndrome,5,0.0008383635144198525,0.1388888888888889,165.66666666666666
MYCOPHENOLATE MOFETIL,ECULIZUMAB,COVID-19,6,0.001006036217303823,0.8571428571428572,164.90322580645162
DULOXETINE,ZOPICLONE,Dementia,10,0.001676727028839705,0.35714285714285715,163.84615384615384
AMPHOTERICIN B,MYCOPHENOLATE MOFETIL,Cerebral infarction,3,0.0005030181086519115,0.13636363636363638,162.65454545454546
DIAZEPAM,MELATONIN,Platelet count decreased,3,0.0005030181086519115,0.2142857142857143,159.75000000000003
TOPIRAMATE,SODIUM OXYBATE,Treatment failure,2,0.00033534540576794097,1.0,156.94736842105263
SODIUM OXYBATE,LEVETIRACETAM,Treatment failure,2,0.00033534540576794097,1.0,156.94736842105263
ZOPICLONE,PREGABALIN,Acquired haemophilia,10,0.001676727028839705,0.2631578947368421,156.94736842105263
MELATONIN,PHENOBARBITAL,Victim of child abuse,4,0.0006706908115358819,0.10526315789473684,156.94736842105263
CLOBAZAM,MELATONIN,Victim of child abuse,4,0.0006706908115358819,0.10526315789473684,156.94736842105263
VALPROIC ACID,DIAZEPAM,Catatonia,4,0.0006706908115358819,0.10526315789473684,156.94736842105263
ZOPICLONE,BACLOFEN,Hemiplegia,3,0.0005030181086519115,0.13043478260869568,155.5826086956522
IBUPROFEN,DIAZEPAM,Hepatic enzyme increased,2,0.00033534540576794097,0.2857142857142857,154.9090909090909
LAMOTRIGINE,ZOPICLONE,Basilar artery occlusion,4,0.0006706908115358819,0.10256410256410256,152.92307692307693
LAMOTRIGINE,BENZTROPINE,Cardiac arrest,8,0.0013413816230717639,0.5,149.1
GALANTAMINE,PHENOBARBITAL,Balance disorder,2,0.00033534540576794097,0.19999999999999998,149.1
LAMOTRIGINE,DOMPERIDONE,Gastrooesophageal reflux disease,2,0.00033534540576794097,0.22222222222222224,147.25925925925927
CARBAMAZEPINE,DIAZEPAM,Restlessness,4,0.0006706908115358819,0.14814814814814814,147.25925925925924
DIAZEPAM,ZOLPIDEM,Cardio-respiratory arrest,4,0.0006706908115358819,0.26666666666666666,144.5818181818182
DULOXETINE,RISPERIDONE,Encephalopathy,5,0.0008383635144198525,0.33333333333333337,142.0
AMITRIPTYLINE,HALOPERIDOL,Dyskinesia,3,0.0005030181086519115,0.33333333333333337,142.0
AMANTADINE,ROPINIROLE,Dyskinesia,2,0.00033534540576794097,0.3333333333333333,142.0
CANDESARTAN,CEFTRIAXONE,Drug hypersensitivity,2,0.00033534540576794097,0.2857142857142857,141.99999999999997
LAMOTRIGINE,MELATONIN,Deep vein thrombosis,4,0.0006706908115358819,0.11764705882352941,140.32941176470587
CANDESARTAN,MYCOPHENOLATE MOFETIL,Pneumonia,2,0.00033534540576794097,0.6666666666666666,137.10344827586206
METOCLOPRAMIDE,ZOPICLONE,Ischaemic stroke,6,0.001006036217303823,0.5454545454545455,135.54545454545456
RASAGILINE,AMANTADINE,Neck pain,2,0.00033534540576794097,0.18181818181818182,135.54545454545456
PRAMIPEXOLE,PREGABALIN,Abdominal discomfort,2,0.00033534540576794097,0.18181818181818182,135.54545454545456
GABAPENTIN,LEVETIRACETAM,Purpura,9,0.0015090543259557343,0.20454545454545453,135.54545454545453
PHENYTOIN,PREGABALIN,Overdose,2,0.00033534540576794097,0.6666666666666666,132.53333333333333
PHENYTOIN,GABAPENTIN,Inspiratory capacity decreased,12,0.002012072434607646,0.26666666666666666,132.53333333333333
TRIHEXYPHENIDYL,PRAMIPEXOLE,Oedema peripheral,2,0.00033534540576794097,0.13333333333333333,132.53333333333333
OXCARBAZEPINE,PHENOBARBITAL,Bradypnoea,2,0.00033534540576794097,0.11111111111111112,132.53333333333333
ACYCLOVIR,METOCLOPRAMIDE,Product dose omission issue,2,0.00033534540576794097,0.11111111111111112,132.53333333333333
RISPERIDONE,BACLOFEN,Neuroleptic malignant syndrome,2,0.00033534540576794097,0.2857142857142857,131.07692307692307
BENZTROPINE,MELATONIN,Cardiac arrest,7,0.0011737089201877935,0.4375,130.4625
DULOXETINE,HALOPERIDOL,Dyskinesia,3,0.0005030181086519115,0.3,127.8
CARBAMAZEPINE,PHENOBARBITAL,Alanine aminotransferase increased,2,0.00033534540576794097,0.10526315789473684,125.55789473684209
CARBAMAZEPINE,GALANTAMINE,Balance disorder,3,0.0005030181086519115,0.16666666666666669,124.25000000000001
OXCARBAZEPINE,PHENOBARBITAL,Dysarthria,3,0.0005030181086519115,0.16666666666666669,124.25000000000001
PHENYTOIN,IBUPROFEN,Inspiratory capacity decreased,10,0.001676727028839705,0.25,124.24999999999999
LAMOTRIGINE,MELATONIN,Cardiac arrest,14,0.002347417840375587,0.411764705882353,122.78823529411765
GABAPENTIN,AMITRIPTYLINE,Anal incontinence,6,0.001006036217303823,0.14285714285714288,121.71428571428572
ACYCLOVIR,METOCLOPRAMIDE,Inappropriate antidiuretic hormone secretion,5,0.0008383635144198525,0.2777777777777778,118.33333333333334
BENZTROPINE,LAMOTRIGINE,Death,6,0.001006036217303823,0.37500000000000006,117.71052631578948
BENZTROPINE,MELATONIN,Death,6,0.001006036217303823,0.37500000000000006,117.71052631578948
VALPROIC ACID,HALOPERIDOL,Choking,3,0.0005030181086519115,0.13636363636363638,116.1818181818182
DULOXETINE,ZOLPIDEM,Fatigue,2,0.00033534540576794097,0.5,114.6923076923077
