Drug1,Drug2,PT,case_count,support,confidence,lift
RISPERIDONE,PROPRANOLOL,Asthenia,2,0.00033534540576794097,0.18181818181818182,77.45454545454545
RASAGILINE,AMANTADINE,Dyskinesia,2,0.00033534540576794097,0.18181818181818182,77.45454545454545
METHYLPHENIDATE,BACLOFEN,Serotonin syndrome,3,0.0005030181086519115,0.5,76.46153846153845
CANDESARTAN,DIAZEPAM,Fall,2,0.00033534540576794097,0.6666666666666666,75.0188679245283
ACYCLOVIR,VANCOMYCIN,Toxic epidermal necrolysis,3,0.0005030181086519115,0.18750000000000003,74.55000000000001
MYCOPHENOLATE MOFETIL,ALEMTUZUMAB,Cytomegalovirus infection reactivation,12,0.002012072434607646,0.28571428571428575,74.08695652173914
LAMOTRIGINE,PRAMIPEXOLE,Adverse drug reaction,4,0.0006706908115358819,0.11111111111111112,73.62962962962963
DIAZEPAM,ZOPICLONE,Myocardial infarction,6,0.001006036217303823,0.17142857142857146,73.02857142857144
TOPIRAMATE,OXCARBAZEPINE,Hypokalaemia,6,0.001006036217303823,0.20689655172413796,72.5841784989858
DULOXETINE,AMANTADINE,Serotonin syndrome,8,0.0013413816230717639,0.47058823529411764,71.96380090497738
DULOXETINE,AMITRIPTYLINE,Dizziness,3,0.0005030181086519115,0.2142857142857143,71.00000000000001
PROPRANOLOL,PREGABALIN,Suicidal ideation,2,0.00033534540576794097,0.3333333333333333,71.0
ETHOSUXIMIDE,CLOBAZAM,Multiple-drug resistance,2,0.00033534540576794097,0.3333333333333333,71.0
DIAZEPAM,PHENOBARBITAL,Inappropriate antidiuretic hormone secretion,2,0.00033534540576794097,0.16666666666666666,71.0
TOPIRAMATE,MEMANTINE,Myocardial infarction,2,0.00033534540576794097,0.16666666666666666,71.0
GABAPENTIN,LACOSAMIDE,Oxygen saturation decreased,3,0.0005030181086519115,0.13043478260869568,70.71936758893281
PREDNISOLONE,PREGABALIN,Oxygen saturation decreased,3,0.0005030181086519115,0.13043478260869568,70.71936758893281
VALPROIC ACID,ZOPICLONE,Intentional product misuse,4,0.0006706908115358819,0.19999999999999998,70.16470588235293
LAMOTRIGINE,DOMPERIDONE,Epilepsy,2,0.00033534540576794097,0.22222222222222224,69.75438596491229
CYCLOSPORINE,CEFTRIAXONE,Diarrhoea,2,0.00033534540576794097,0.2857142857142857,68.16
LAMOTRIGINE,DIAZEPAM,Cardio-respiratory arrest,4,0.0006706908115358819,0.125,67.77272727272727
PREGABALIN,BACLOFEN,Altered state of consciousness,6,0.001006036217303823,0.11320754716981132,67.51698113207547
TRIHEXYPHENIDYL,PRAMIPEXOLE,Dizziness,3,0.0005030181086519115,0.2,66.26666666666668
TRIHEXYPHENIDYL,HALOPERIDOL,Intentional overdose,3,0.0005030181086519115,0.17647058823529413,65.77941176470588
RASAGILINE,PRAMIPEXOLE,Dyskinesia,2,0.00033534540576794097,0.15384615384615383,65.53846153846153
MELATONIN,PHENOBARBITAL,Product use issue,5,0.0008383635144198525,0.13157894736842105,65.39473684210526
PREDNISOLONE,LEVETIRACETAM,Hepatic cytolysis,5,0.0008383635144198525,0.2173913043478261,64.82608695652175
IBUPROFEN,LEVETIRACETAM,Anxiety,2,0.00033534540576794097,0.18181818181818182,63.786096256684495
TRIHEXYPHENIDYL,HALOPERIDOL,Hepatic enzyme increased,2,0.00033534540576794097,0.11764705882352941,63.78609625668449
PHENOBARBITAL,BACLOFEN,Product prescribing error,5,0.0008383635144198525,0.10638297872340426,63.4468085106383
CLOBAZAM,BACLOFEN,Product prescribing error,5,0.0008383635144198525,0.10638297872340426,63.4468085106383
CLOBAZAM,MELATONIN,Product prescribing error,4,0.0006706908115358819,0.10526315789473684,62.77894736842104
MELATONIN,PHENOBARBITAL,Product prescribing error,4,0.0006706908115358819,0.10526315789473684,62.77894736842104
ZOPICLONE,PREGABALIN,Pancreatitis,4,0.0006706908115358819,0.10526315789473684,62.77894736842104
ACYCLOVIR,GABAPENTIN,Acute kidney injury,3,0.0005030181086519115,0.37500000000000006,62.125000000000014
DIAZEPAM,ZOPICLONE,Cardio-respiratory arrest,4,0.0006706908115358819,0.11428571428571428,61.96363636363636
CLOBAZAM,PROPRANOLOL,Disease recurrence,2,0.00033534540576794097,0.13333333333333333,61.169230769230765
CARBAMAZEPINE,HALOPERIDOL,Hepatic enzyme increased,2,0.00033534540576794097,0.11111111111111112,60.24242424242425
CARBAMAZEPINE,HALOPERIDOL,Hypokalaemia,3,0.0005030181086519115,0.16666666666666669,58.47058823529412
PHENYTOIN,PHENOBARBITAL,Premature delivery,2,0.00033534540576794097,0.11764705882352941,58.47058823529411
MELATONIN,BACLOFEN,Product use issue,5,0.0008383635144198525,0.11627906976744186,57.7906976744186
CANDESARTAN,CYCLOSPORINE,Pain,2,0.00033534540576794097,0.15384615384615383,57.34615384615384
AMITRIPTYLINE,GALANTAMINE,Pain,2,0.00033534540576794097,0.15384615384615383,57.34615384615384
IBUPROFEN,ZOPICLONE,Intentional overdose,2,0.00033534540576794097,0.15384615384615383,57.34615384615384
DIAZEPAM,PHENOBARBITAL,Hyponatraemia,4,0.0006706908115358819,0.3333333333333333,56.8
PREGABALIN,METHYLPHENIDATE,Overdose,2,0.00033534540576794097,0.2857142857142857,56.8
PHENYTOIN,VALPROIC ACID,Premature delivery,4,0.0006706908115358819,0.11428571428571428,56.79999999999999
GABAPENTIN,DULOXETINE,Cholestatic liver injury,7,0.0011737089201877935,0.10447761194029852,56.645861601085485
PHENYTOIN,BACLOFEN,Fall,2,0.00033534540576794097,0.5,56.264150943396224
GABAPENTIN,PHENOBARBITAL,Product use issue,5,0.0008383635144198525,0.11111111111111112,55.22222222222222
PROPRANOLOL,ZOPICLONE,Disease recurrence,3,0.0005030181086519115,0.12,55.052307692307686
DULOXETINE,LEVETIRACETAM,Anxiety,2,0.00033534540576794097,0.15384615384615383,53.972850678733025
PHENOBARBITAL,BACLOFEN,Product use issue,5,0.0008383635144198525,0.10638297872340426,52.87234042553191
LACOSAMIDE,PHENOBARBITAL,Premature delivery,2,0.00033534540576794097,0.10526315789473684,52.315789473684205
CLOBAZAM,MELATONIN,Product use issue,4,0.0006706908115358819,0.10526315789473684,52.315789473684205
CARBAMAZEPINE,GALANTAMINE,Cognitive disorder,2,0.00033534540576794097,0.11111111111111112,50.97435897435898
VALPROIC ACID,RISPERIDONE,Neuroleptic malignant syndrome,5,0.0008383635144198525,0.11111111111111112,50.97435897435898
TRIHEXYPHENIDYL,DIAZEPAM,Intentional overdose,3,0.0005030181086519115,0.13636363636363638,50.82954545454546
TOPIRAMATE,PHENOBARBITAL,Multiple-drug resistance,5,0.0008383635144198525,0.2380952380952381,50.714285714285715
ACYCLOVIR,MYCOPHENOLATE MOFETIL,Pneumocystis jirovecii pneumonia,2,0.00033534540576794097,0.14285714285714285,50.11764705882353
PREGABALIN,TIZANIDINE,Pain,2,0.00033534540576794097,0.13333333333333333,49.7
DULOXETINE,BACLOFEN,Suicidal ideation,5,0.0008383635144198525,0.2272727272727273,48.409090909090914
PREDNISOLONE,RITUXIMAB,Drug reaction with eosinophilia and systemic symptoms,4,0.0006706908115358819,0.23529411764705882,48.3894523326572
AZATHIOPRINE,RITUXIMAB,Product use in unapproved indication,4,0.0006706908115358819,0.5714285714285714,48.0
VALPROIC ACID,PREGABALIN,Serotonin syndrome,5,0.0008383635144198525,0.3125,47.78846153846153
CARBAMAZEPINE,RISPERIDONE,Thrombocytopenia,3,0.0005030181086519115,0.23076923076923078,47.45888594164457
ACYCLOVIR,METOCLOPRAMIDE,Cerebrovascular accident,2,0.00033534540576794097,0.11111111111111112,47.333333333333336
IBUPROFEN,PREGABALIN,Anxiety,2,0.00033534540576794097,0.13333333333333333,46.7764705882353
AMITRIPTYLINE,GALANTAMINE,Depressed level of consciousness,2,0.00033534540576794097,0.15384615384615383,45.87692307692307
DULOXETINE,PROPRANOLOL,Maternal exposure during pregnancy,2,0.00033534540576794097,0.3333333333333333,45.18181818181818
SUMATRIPTAN,TOPIRAMATE,Drug dependence,2,0.00033534540576794097,0.16666666666666666,45.18181818181818
AMANTADINE,PRAMIPEXOLE,Dyskinesia,3,0.0005030181086519115,0.10344827586206898,44.06896551724138
MELATONIN,PREGABALIN,Constipation,2,0.00033534540576794097,0.15384615384615383,43.692307692307686
IBUPROFEN,ZOPICLONE,Suicide attempt,3,0.0005030181086519115,0.23076923076923078,43.00961538461539
CANDESARTAN,PREDNISOLONE,Neutropenia,4,0.0006706908115358819,0.26666666666666666,42.983783783783785
LAMOTRIGINE,DOMPERIDONE,Vomiting,2,0.00033534540576794097,0.22222222222222224,42.752688172043015
LAMOTRIGINE,PROPRANOLOL,Suicidal ideation,2,0.00033534540576794097,0.19999999999999998,42.599999999999994
CYCLOSPORINE,ALEMTUZUMAB,Product use in unapproved indication,3,0.0005030181086519115,0.5,42.0
FINGOLIMOD,TERIFLUNOMIDE,Fatigue,2,0.00033534540576794097,0.18181818181818182,41.70629370629371
IBUPROFEN,CANDESARTAN,Acute kidney injury,2,0.00033534540576794097,0.25,41.41666666666667
CARBAMAZEPINE,GALANTAMINE,Pain,2,0.00033534540576794097,0.11111111111111112,41.41666666666667
TRIHEXYPHENIDYL,RISPERIDONE,Intentional overdose,2,0.00033534540576794097,0.11111111111111112,41.41666666666667
LEVETIRACETAM,PREGABALIN,Ischaemic stroke,7,0.0011737089201877935,0.16666666666666666,41.416666666666664
DIAZEPAM,HALOPERIDOL,Intentional overdose,3,0.0005030181086519115,0.10714285714285715,39.93750000000001
DULOXETINE,LEVETIRACETAM,Hyponatraemia,3,0.0005030181086519115,0.23076923076923078,39.323076923076925
ZOLPIDEM,PRAMIPEXOLE,Suicide attempt,4,0.0006706908115358819,0.21052631578947367,39.23684210526316
ZOPICLONE,PREGABALIN,Coma,4,0.0006706908115358819,0.10526315789473684,39.23684210526316
CLOBAZAM,RISPERIDONE,Somnolence,3,0.0005030181086519115,0.33333333333333337,38.98039215686275
PREDNISOLONE,LEVETIRACETAM,Anaemia,3,0.0005030181086519115,0.13043478260869568,38.89565217391305
HALOPERIDOL,PREGABALIN,Condition aggravated,2,0.00033534540576794097,0.5,38.72727272727273
NAPROXEN,DOMPERIDONE,Vomiting,2,0.00033534540576794097,0.19999999999999998,38.47741935483871
DULOXETINE,ZOPICLONE,Suicidal ideation,5,0.0008383635144198525,0.17857142857142858,38.035714285714285
DIAZEPAM,PREGABALIN,Anxiety,3,0.0005030181086519115,0.10714285714285715,37.58823529411765
CARBAMAZEPINE,AMITRIPTYLINE,Depressed level of consciousness,5,0.0008383635144198525,0.12195121951219512,36.36585365853659
CLOBAZAM,PROPRANOLOL,Nausea,4,0.0006706908115358819,0.26666666666666666,36.14545454545455
LAMOTRIGINE,ZOPICLONE,Intentional product misuse,4,0.0006706908115358819,0.10256410256410256,35.98190045248869
PHENYTOIN,VALPROIC ACID,Status epilepticus,4,0.0006706908115358819,0.11428571428571428,35.873684210526314
PREDNISOLONE,LEVETIRACETAM,Thrombocytopenia,4,0.0006706908115358819,0.17391304347826086,35.76611694152923
GABAPENTIN,LACOSAMIDE,Drug reaction with eosinophilia and systemic symptoms,4,0.0006706908115358819,0.17391304347826086,35.76611694152923
LAMOTRIGINE,PRAMIPEXOLE,Suicidal ideation,6,0.001006036217303823,0.16666666666666669,35.5
CLOBAZAM,RISPERIDONE,Seizure,2,0.00033534540576794097,0.22222222222222224,34.877192982456144
RISPERIDONE,LEVETIRACETAM,Seizure,2,0.00033534540576794097,0.22222222222222224,34.877192982456144
ZOLPIDEM,PREGABALIN,Drug interaction,2,0.00033534540576794097,0.25,34.674418604651166
CLOBAZAM,BACLOFEN,Drug dependence,6,0.001006036217303823,0.1276595744680851,34.6073500967118
DULOXETINE,BACLOFEN,Ischaemic stroke,3,0.0005030181086519115,0.13636363636363638,33.88636363636364
ZOLPIDEM,PRAMIPEXOLE,Suicidal ideation,3,0.0005030181086519115,0.15789473684210525,33.63157894736842
CANDESARTAN,AMITRIPTYLINE,Therapeutic product effect incomplete,2,0.00033534540576794097,0.16666666666666666,33.13333333333333
TOPIRAMATE,MEMANTINE,Therapeutic product effect incomplete,2,0.00033534540576794097,0.16666666666666666,33.13333333333333
CARBAMAZEPINE,GALANTAMINE,Depressed level of consciousness,2,0.00033534540576794097,0.11111111111111112,33.13333333333333
LAMOTRIGINE,ZONISAMIDE,Foetal exposure during pregnancy,6,0.001006036217303823,0.20689655172413796,32.471869328493646
TOPIRAMATE,PHENOBARBITAL,Hyponatraemia,4,0.0006706908115358819,0.19047619047619047,32.457142857142856
LAMOTRIGINE,DIAZEPAM,Drug reaction with eosinophilia and systemic symptoms,5,0.0008383635144198525,0.15625,32.133620689655174
CARBAMAZEPINE,PHENOBARBITAL,Dyspnoea,2,0.00033534540576794097,0.10526315789473684,31.38947368421052
TRIHEXYPHENIDYL,PRAMIPEXOLE,Somnolence,4,0.0006706908115358819,0.26666666666666666,31.184313725490195
LAMOTRIGINE,PRAMIPEXOLE,Suicide attempt,6,0.001006036217303823,0.16666666666666669,31.062500000000004
ACYCLOVIR,VANCOMYCIN,Rash,2,0.00033534540576794097,0.125,31.062499999999996
ZOPICLONE,CEFTRIAXONE,Condition aggravated,2,0.00033534540576794097,0.39999999999999997,30.981818181818177
DIAZEPAM,BACLOFEN,Depressed level of consciousness,3,0.0005030181086519115,0.10344827586206898,30.848275862068967
CARBAMAZEPINE,BACLOFEN,Fall,3,0.0005030181086519115,0.27272727272727276,30.689536878216128
ACYCLOVIR,METOCLOPRAMIDE,Confusional state,2,0.00033534540576794097,0.11111111111111112,30.121212121212125
GABAPENTIN,PHENOBARBITAL,Drug dependence,5,0.0008383635144198525,0.11111111111111112,30.121212121212125
DIAZEPAM,LEVETIRACETAM,Therapy non-responder,3,0.0005030181086519115,0.37500000000000006,29.820000000000004
TOPIRAMATE,MEMANTINE,Somnolence,3,0.0005030181086519115,0.25,29.235294117647058
TRIHEXYPHENIDYL,AMANTADINE,Somnolence,5,0.0008383635144198525,0.25,29.235294117647058
VALPROIC ACID,PHENOBARBITAL,Multiple-drug resistance,3,0.0005030181086519115,0.13636363636363638,29.04545454545455
NAPROXEN,LAMOTRIGINE,Vomiting,3,0.0005030181086519115,0.15,28.85806451612903
PHENOBARBITAL,BACLOFEN,Drug dependence,5,0.0008383635144198525,0.10638297872340426,28.8394584139265
DULOXETINE,ZOPICLONE,Overdose,4,0.0006706908115358819,0.14285714285714285,28.4
MYCOPHENOLATE MOFETIL,RITUXIMAB,COVID-19,2,0.00033534540576794097,0.14285714285714285,27.483870967741936
CEFTRIAXONE,LEVETIRACETAM,Neutropenia,3,0.0005030181086519115,0.16666666666666669,26.86486486486487
AMITRIPTYLINE,GALANTAMINE,Fall,3,0.0005030181086519115,0.23076923076923078,25.968069666182874
LAMOTRIGINE,PRAMIPEXOLE,Condition aggravated,12,0.002012072434607646,0.33333333333333337,25.81818181818182
CARBAMAZEPINE,RISPERIDONE,Acute kidney injury,2,0.00033534540576794097,0.15384615384615383,25.487179487179485
ZOLPIDEM,MEMANTINE,Off label use,2,0.00033534540576794097,1.0,25.271186440677965
METHYLPHENIDATE,MEMANTINE,Off label use,2,0.00033534540576794097,1.0,25.271186440677965
ZOLPIDEM,AMANTADINE,Off label use,2,0.00033534540576794097,1.0,25.271186440677965
LAMOTRIGINE,ZOLPIDEM,Suicidal ideation,6,0.001006036217303823,0.11764705882352941,25.058823529411764
CARBAMAZEPINE,LACOSAMIDE,Drug reaction with eosinophilia and systemic symptoms,4,0.0006706908115358819,0.12121212121212122,24.927899686520377
CANDESARTAN,CYCLOSPORINE,Neutropenia,2,0.00033534540576794097,0.15384615384615383,24.7983367983368
AMITRIPTYLINE,PREGABALIN,Serotonin syndrome,15,0.0025150905432595573,0.15957446808510636,24.402618657937804
CYCLOSPORINE,CEFTRIAXONE,Product use in unapproved indication,2,0.00033534540576794097,0.2857142857142857,24.0
TOPIRAMATE,ZONISAMIDE,Acute kidney injury,3,0.0005030181086519115,0.14285714285714288,23.66666666666667
PREDNISOLONE,LEVETIRACETAM,Condition aggravated,7,0.0011737089201877935,0.30434782608695654,23.57312252964427
ZOPICLONE,RIZATRIPTAN,Drug intolerance,2,0.00033534540576794097,0.15384615384615383,23.52662721893491
CANDESARTAN,TOPIRAMATE,Therapeutic product effect incomplete,2,0.00033534540576794097,0.11764705882352941,23.388235294117646
TOPIRAMATE,LEVETIRACETAM,Multiple-drug resistance,6,0.001006036217303823,0.1090909090909091,23.236363636363638
NAPROXEN,LAMOTRIGINE,Drug intolerance,3,0.0005030181086519115,0.15,22.938461538461535
DIAZEPAM,PROPRANOLOL,Therapy non-responder,2,0.00033534540576794097,0.2857142857142857,22.72
RISPERIDONE,RIVASTIGMINE,Drug ineffective for unapproved indication,3,0.0005030181086519115,0.2,22.505660377358492
PHENYTOIN,GABAPENTIN,Drug ineffective for unapproved indication,9,0.0015090543259557343,0.19999999999999998,22.50566037735849
PHENYTOIN,IBUPROFEN,Drug ineffective for unapproved indication,8,0.0013413816230717639,0.19999999999999998,22.50566037735849
ZONISAMIDE,CLOBAZAM,Foetal exposure during pregnancy,4,0.0006706908115358819,0.14285714285714285,22.421052631578945
CARBAMAZEPINE,GALANTAMINE,Overdose,2,0.00033534540576794097,0.11111111111111112,22.088888888888892
TRIHEXYPHENIDYL,HALOPERIDOL,Suicide attempt,2,0.00033534540576794097,0.11764705882352941,21.926470588235293
PROPRANOLOL,ZOPICLONE,Nausea,4,0.0006706908115358819,0.15999999999999998,21.687272727272724
CLOBAZAM,ZOPICLONE,Nausea,4,0.0006706908115358819,0.15999999999999998,21.687272727272724
IBUPROFEN,CANDESARTAN,Product use in unapproved indication,2,0.00033534540576794097,0.25,21.0
DULOXETINE,RISPERIDONE,Treatment failure,2,0.00033534540576794097,0.13333333333333333,20.926315789473684
CARBAMAZEPINE,PHENOBARBITAL,Overdose,2,0.00033534540576794097,0.10526315789473684,20.926315789473684
ACYCLOVIR,VANCOMYCIN,Acute kidney injury,2,0.00033534540576794097,0.125,20.708333333333336
TRIHEXYPHENIDYL,RISPERIDONE,Suicide attempt,2,0.00033534540576794097,0.11111111111111112,20.708333333333336
DOMPERIDONE,TOPIRAMATE,Vomiting,3,0.0005030181086519115,0.10714285714285715,20.612903225806452
ZOLPIDEM,PRAMIPEXOLE,Condition aggravated,5,0.0008383635144198525,0.2631578947368421,20.38277511961722
PYRIDOSTIGMINE,MYCOPHENOLATE MOFETIL,Therapy non-responder,2,0.00033534540576794097,0.25,19.88
GABAPENTIN,ZOPICLONE,COVID-19,3,0.0005030181086519115,0.1,19.238709677419354
CARBAMAZEPINE,AMITRIPTYLINE,Fall,7,0.0011737089201877935,0.17073170731707316,19.212149102623098
LAMOTRIGINE,DOMPERIDONE,Product use in unapproved indication,2,0.00033534540576794097,0.22222222222222224,18.666666666666668
LAMOTRIGINE,CLOBAZAM,Foetal exposure during pregnancy,11,0.0018443997317236754,0.11702127659574467,18.366181410974242
ACYCLOVIR,CEFTRIAXONE,Acute kidney injury,2,0.00033534540576794097,0.10526315789473684,17.438596491228072
ZOPICLONE,RIZATRIPTAN,Drug ineffective for unapproved indication,2,0.00033534540576794097,0.15384615384615383,17.31204644412191
LAMOTRIGINE,ETHOSUXIMIDE,Off label use,2,0.00033534540576794097,0.6666666666666666,16.847457627118644
NAPROXEN,DOMPERIDONE,Product use in unapproved indication,2,0.00033534540576794097,0.19999999999999998,16.8
DOMPERIDONE,TOPIRAMATE,Drug intolerance,3,0.0005030181086519115,0.10714285714285715,16.384615384615383
DULOXETINE,AMANTADINE,Drug interaction,2,0.00033534540576794097,0.11764705882352941,16.317373461012313
AMANTADINE,PRAMIPEXOLE,Somnolence,4,0.0006706908115358819,0.13793103448275862,16.129817444219064
RISPERIDONE,ZOPICLONE,Fall,6,0.001006036217303823,0.14285714285714288,16.07547169811321
GABAPENTIN,DULOXETINE,Serotonin syndrome,7,0.0011737089201877935,0.10447761194029852,15.977037887485649
ACYCLOVIR,VANCOMYCIN,Therapy non-responder,3,0.0005030181086519115,0.18750000000000003,14.910000000000002
CARBAMAZEPINE,PHENOBARBITAL,Drug interaction,2,0.00033534540576794097,0.10526315789473684,14.599755201958383
IBUPROFEN,GABAPENTIN,Drug ineffective for unapproved indication,8,0.0013413816230717639,0.12903225806451613,14.51978088861838
LACOSAMIDE,RISPERIDONE,Drug ineffective,2,0.00033534540576794097,1.0,14.405797101449275
ACYCLOVIR,AMANTADINE,Drug ineffective,3,0.0005030181086519115,1.0,14.405797101449275
AMANTADINE,CEFTRIAXONE,Drug ineffective,3,0.0005030181086519115,1.0,14.405797101449275
BENZTROPINE,ZOPICLONE,Drug ineffective,2,0.00033534540576794097,1.0,14.405797101449275
LAMOTRIGINE,HALOPERIDOL,Condition aggravated,2,0.00033534540576794097,0.18181818181818182,14.082644628099173
DIAZEPAM,ZOPICLONE,Fall,4,0.0006706908115358819,0.11428571428571428,12.860377358490565
ZOLPIDEM,PRAMIPEXOLE,Therapy non-responder,3,0.0005030181086519115,0.15789473684210525,12.555789473684209
ZOPICLONE,PREGABALIN,Fall,4,0.0006706908115358819,0.10526315789473684,11.845084409136046
PREGABALIN,TIZANIDINE,Condition aggravated,2,0.00033534540576794097,0.13333333333333333,10.327272727272726
IBUPROFEN,GABAPENTIN,Therapy non-responder,8,0.0013413816230717639,0.12903225806451613,10.260645161290322
ZOPICLONE,ZOLMITRIPTAN,Product use in unapproved indication,3,0.0005030181086519115,0.12,10.08
VALPROIC ACID,PROPRANOLOL,Drug ineffective,2,0.00033534540576794097,0.6666666666666666,9.603864734299517
OXCARBAZEPINE,NORTRIPTYLINE,Drug ineffective,2,0.00033534540576794097,0.6666666666666666,9.603864734299517
NORTRIPTYLINE,BACLOFEN,Drug ineffective,2,0.00033534540576794097,0.6666666666666666,9.603864734299517
NORTRIPTYLINE,PREGABALIN,Drug ineffective,2,0.00033534540576794097,0.6666666666666666,9.603864734299517
LAMOTRIGINE,ZOLPIDEM,Condition aggravated,6,0.001006036217303823,0.11764705882352941,9.11229946524064
LAMOTRIGINE,PRAMIPEXOLE,Therapy non-responder,4,0.0006706908115358819,0.11111111111111112,8.835555555555555
ZONISAMIDE,LEVETIRACETAM,Therapy non-responder,3,0.0005030181086519115,0.11111111111111112,8.835555555555555
PREDNISOLONE,AZATHIOPRINE,Therapy non-responder,20,0.00335345405767941,0.10869565217391305,8.643478260869566
RISPERIDONE,OXCARBAZEPINE,Off label use,2,0.00033534540576794097,0.3333333333333333,8.423728813559322
AMANTADINE,MEMANTINE,Off label use,2,0.00033534540576794097,0.2857142857142857,7.220338983050847
CLOBAZAM,PREGABALIN,Drug ineffective,2,0.00033534540576794097,0.5,7.202898550724638
DIAZEPAM,LACOSAMIDE,Drug ineffective,2,0.00033534540576794097,0.5,7.202898550724638
PHENYTOIN,TOPIRAMATE,Drug ineffective,9,0.0015090543259557343,0.4736842105263157,6.8237986270022875
RISPERIDONE,RIVASTIGMINE,Off label use,4,0.0006706908115358819,0.26666666666666666,6.738983050847457
PHENYTOIN,ZOPICLONE,Drug ineffective,4,0.0006706908115358819,0.4444444444444445,6.402576489533012
LACOSAMIDE,PHENOBARBITAL,Drug ineffective,8,0.0013413816230717639,0.42105263157894735,6.06559877955759
CARBAMAZEPINE,ZOPICLONE,Drug ineffective,2,0.00033534540576794097,0.39999999999999997,5.76231884057971
PHENYTOIN,IBUPROFEN,Drug ineffective,16,0.0026827632461435278,0.39999999999999997,5.76231884057971
PYRIDOSTIGMINE,AZATHIOPRINE,Drug ineffective,2,0.00033534540576794097,0.39999999999999997,5.76231884057971
PHENYTOIN,GABAPENTIN,Drug ineffective,17,0.002850435949027498,0.37777777777777777,5.442190016103059
GABAPENTIN,NORTRIPTYLINE,Drug ineffective,3,0.0005030181086519115,0.37500000000000006,5.402173913043479
MYCOPHENOLATE MOFETIL,PYRIDOSTIGMINE,Drug ineffective,3,0.0005030181086519115,0.37500000000000006,5.402173913043479
IBUPROFEN,GABAPENTIN,Off label use,13,0.0021797451374916165,0.20967741935483872,5.298797156916348
METOCLOPRAMIDE,ZOPICLONE,Drug ineffective,4,0.0006706908115358819,0.36363636363636365,5.238471673254282
PHENYTOIN,GABAPENTIN,Off label use,9,0.0015090543259557343,0.19999999999999998,5.054237288135592
GABAPENTIN,HALOPERIDOL,Off label use,2,0.00033534540576794097,0.19999999999999998,5.054237288135592
VALPROIC ACID,OXCARBAZEPINE,Drug ineffective,7,0.0011737089201877935,0.35,5.042028985507247
ACYCLOVIR,PREDNISOLONE,Off label use,3,0.0005030181086519115,0.18750000000000003,4.738347457627119
CANDESARTAN,TOPIRAMATE,Off label use,3,0.0005030181086519115,0.17647058823529413,4.459621136590229
GABAPENTIN,OXCARBAZEPINE,Drug ineffective,4,0.0006706908115358819,0.30769230769230765,4.432552954292085
IBUPROFEN,ZOPICLONE,Drug ineffective,4,0.0006706908115358819,0.30769230769230765,4.432552954292085
PHENYTOIN,IBUPROFEN,Off label use,7,0.0011737089201877935,0.175,4.422457627118644
LACOSAMIDE,ZONISAMIDE,Drug ineffective,7,0.0011737089201877935,0.30434782608695654,4.384373030875867
TOPIRAMATE,PREGABALIN,Drug ineffective,3,0.0005030181086519115,0.3,4.321739130434783
GABAPENTIN,LAMOTRIGINE,Drug ineffective,3,0.0005030181086519115,0.3,4.321739130434783
ZONISAMIDE,LEVETIRACETAM,Drug ineffective,8,0.0013413816230717639,0.2962962962962963,4.268384326355341
DULOXETINE,AMITRIPTYLINE,Drug ineffective,4,0.0006706908115358819,0.2857142857142857,4.115942028985507
GABAPENTIN,METOCLOPRAMIDE,Drug ineffective,2,0.00033534540576794097,0.2857142857142857,4.115942028985507
TOPIRAMATE,PROPRANOLOL,Off label use,3,0.0005030181086519115,0.15789473684210525,3.990187332738626
TOPIRAMATE,LACOSAMIDE,Drug ineffective,13,0.0021797451374916165,0.2765957446808511,3.9845821769966085
IBUPROFEN,GABAPENTIN,Drug ineffective,17,0.002850435949027498,0.27419354838709675,3.94997662459093
IBUPROFEN,LEVETIRACETAM,Drug ineffective,3,0.0005030181086519115,0.27272727272727276,3.9288537549407123
IBUPROFEN,PREGABALIN,Drug ineffective,4,0.0006706908115358819,0.26666666666666666,3.841545893719807
PHENYTOIN,LACOSAMIDE,Drug ineffective,12,0.002012072434607646,0.2553191489361702,3.6780758556891766
ACYCLOVIR,MYCOPHENOLATE MOFETIL,Off label use,2,0.00033534540576794097,0.14285714285714285,3.6101694915254234
GABAPENTIN,AMANTADINE,Off label use,2,0.00033534540576794097,0.14285714285714285,3.6101694915254234
VALPROIC ACID,AMITRIPTYLINE,Drug ineffective,3,0.0005030181086519115,0.25,3.601449275362319
OXCARBAZEPINE,BACLOFEN,Drug ineffective,2,0.00033534540576794097,0.25,3.601449275362319
ACYCLOVIR,LEVETIRACETAM,Drug ineffective,2,0.00033534540576794097,0.25,3.601449275362319
LACOSAMIDE,PREGABALIN,Drug ineffective,3,0.0005030181086519115,0.25,3.601449275362319
DIAZEPAM,LEVETIRACETAM,Drug ineffective,2,0.00033534540576794097,0.25,3.601449275362319
IBUPROFEN,DULOXETINE,Drug ineffective,2,0.00033534540576794097,0.25,3.601449275362319
GABAPENTIN,RISPERIDONE,Off label use,3,0.0005030181086519115,0.13636363636363638,3.4460708782742686
LACOSAMIDE,CLOBAZAM,Drug ineffective,21,0.0035211267605633804,0.23863636363636365,3.437747035573123
LEVETIRACETAM,PREGABALIN,Drug ineffective,10,0.001676727028839705,0.2380952380952381,3.4299516908212566
TOPIRAMATE,ZONISAMIDE,Drug ineffective,5,0.0008383635144198525,0.2380952380952381,3.4299516908212566
TOPIRAMATE,LEVETIRACETAM,Drug ineffective,13,0.0021797451374916165,0.23636363636363636,3.4050065876152833
